source,target,style
1,32,-.
1,47,-
1,175,-
1,179,-
1,48,-
1,46,-
1,107,-
1,104,-
1,188,-
1,141,-
1,182,-
1,126,-
1,85,-
1,166,-
1,60,-
1,121,-
1,84,-
1,110,-
1,72,-
1,190,-
1,103,-
1,108,-
2,33,-.
2,190,-
2,144,-
2,155,-
2,68,-
3,24,-.
4,42,-.
5,44,-.
6,28,-.
7,34,-.
8,25,-.
9,38,-.
9,178,-
9,150,-
9,111,-
9,130,-
9,149,-
9,120,-
9,134,-
9,59,-
9,124,-
9,177,-
9,151,-
9,139,-
9,142,-
9,156,-
9,45,-
9,55,-
9,138,-
9,153,-
9,102,-
9,113,-
9,122,-
9,112,-
9,93,-
9,143,-
9,65,-
9,115,-
9,66,-
9,70,-
9,100,-
9,67,-
9,95,-
9,154,-
9,160,-
9,91,-
9,162,-
9,76,-
9,79,-
10,26,-.
10,161,-
10,147,-
10,61,-
10,155,-
10,123,-
10,49,-
10,129,-
10,81,-
10,141,-
10,97,-
10,80,-
10,77,-
10,159,-
10,101,-
10,92,-
10,52,-
10,64,-
10,182,-
10,90,-
10,51,-
10,69,-
10,71,-
10,132,-
10,58,-
10,171,-
10,33,-
11,40,-.
12,41,-.
13,40,-.
13,170,-
13,63,-
13,172,-
13,78,-
13,67,-
13,185,-
13,140,-
13,167,-
13,114,-
13,164,-
13,119,-
13,169,-
13,118,-
13,173,-
13,133,-
13,125,-
13,152,-
13,116,-
13,89,-
13,135,-
13,117,-
13,165,-
13,87,-
13,106,-
13,86,-
13,148,-
13,98,-
13,82,-
13,61,-
13,145,-
13,137,-
13,96,-
13,180,-
14,40,-.
15,37,-.
16,35,-.
17,31,-.
17,94,-
18,43,-.
19,36,-.
19,94,-
19,168,-
19,127,-
19,54,-
19,146,-
19,183,-
19,186,-
19,131,-
19,181,-
19,184,-
20,27,-.
20,163,-
21,39,-.
22,29,-.
22,73,-
22,83,-
22,50,-
22,62,-
22,158,-
22,53,-
22,75,-
22,88,-
22,109,-
22,74,-
22,189,-
22,57,-
22,157,-
22,176,-
22,187,-
22,105,-
22,128,-
22,136,-
22,56,-
22,174,-
22,27,-
22,30,-
22,31,-
23,30,-.
23,99,-
