node,label,sponsor,node_type,size,color,shape,sponsored,cosponsored,source
1,H.J.Res. 12,"Nunn, Zachary [Rep.-R-IA-3]",bill,128.0,#B22222,s,NA,NA,
2,H.J.Res. 19,"Perry, Scott [Rep.-R-PA-10]",bill,128.0,#B22222,s,NA,NA,
3,H.J.Res. 2,"Buchanan, Vern [Rep.-R-FL-16]",bill,128.0,#B22222,s,NA,NA,
4,H.J.Res. 21,"Van Orden, Derrick [Rep.-R-WI-3]",bill,128.0,#B22222,s,NA,NA,
5,H.J.Res. 55,"Yakym, Rudy [Rep.-R-IN-2]",bill,128.0,#B22222,s,NA,NA,
6,H.J.Res. 56,"Green, Mark E. [Rep.-R-TN-7]",bill,128.0,#B22222,s,NA,NA,
7,H.J.Res. 67,"Pfluger, August [Rep.-R-TX-11]",bill,128.0,#B22222,s,NA,NA,
8,H.R. 1040,"Burgess, Michael C. [Rep.-R-TX-26]",bill,128.0,#B22222,s,NA,NA,
9,H.R. 1046,"Schakowsky, Janice D. [Rep.-D-IL-9]",bill,128.0,#0047AB,s,NA,NA,
10,H.R. 25,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",bill,128.0,#B22222,s,NA,NA,
11,H.R. 3938,"Smith, Jason [Rep.-R-MO-8]",bill,128.0,#B22222,s,NA,NA,
12,H.R. 579,"Steube, W. Gregory [Rep.-R-FL-17]",bill,128.0,#B22222,s,NA,NA,
13,H.R. 5988,"Smith, Jason [Rep.-R-MO-8]",bill,128.0,#B22222,s,NA,NA,
14,H.R. 7024,"Smith, Jason [Rep.-R-MO-8]",bill,128.0,#B22222,s,NA,NA,
15,H.Res. 5,"Scalise, Steve [Rep.-R-LA-1]",bill,128.0,#B22222,s,NA,NA,
16,S. 153,"Rubio, Marco [Sen.-R-FL]",bill,128.0,#B22222,s,NA,NA,
17,S. 2281,"Lummis, Cynthia M. [Sen.-R-WY]",bill,128.0,#B22222,s,NA,NA,
18,S. 3084,"Wyden, Ron [Sen.-D-OR]",bill,128.0,#0047AB,s,NA,NA,
19,S. 393,"Sanders, Bernard [Sen.-I-VT]",bill,128.0,#FFAA33,s,NA,NA,
20,S. 6,"Daines, Steve [Sen.-R-MT]",bill,128.0,#B22222,s,NA,NA,
21,S.J.Res. 1,"Scott, Rick [Sen.-R-FL]",bill,128.0,#B22222,s,NA,NA,
22,S.J.Res. 13,"Hyde-Smith, Cindy [Sen.-R-MS]",bill,128.0,#B22222,s,NA,NA,
23,S.J.Res. 14,"Lee, Mike [Sen.-R-UT]",bill,128.0,#B22222,s,NA,NA,
24,"Buchanan, Vern [Rep.-R-FL-16]",NA,sponsor,128.0,#B22222,^,H.J.Res. 2,NA,
25,"Burgess, Michael C. [Rep.-R-TX-26]",NA,sponsor,128.0,#B22222,^,H.R. 1040,NA,
26,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",NA,sponsor,128.0,#B22222,^,H.R. 25,NA,
27,"Daines, Steve [Sen.-R-MT]",NA,sponsor/cosponsor,128.0,#B22222,H,S. 6,S.J.Res. 13,
28,"Green, Mark E. [Rep.-R-TN-7]",NA,sponsor,128.0,#B22222,^,H.J.Res. 56,NA,
29,"Hyde-Smith, Cindy [Sen.-R-MS]",NA,sponsor,128.0,#B22222,^,S.J.Res. 13,NA,
30,"Lee, Mike [Sen.-R-UT]",NA,sponsor/cosponsor,128.0,#B22222,H,S.J.Res. 14,S.J.Res. 13,
31,"Lummis, Cynthia M. [Sen.-R-WY]",NA,sponsor/cosponsor,128.0,#B22222,H,S. 2281,S.J.Res. 13,
32,"Nunn, Zachary [Rep.-R-IA-3]",NA,sponsor,128.0,#B22222,^,H.J.Res. 12,NA,
33,"Perry, Scott [Rep.-R-PA-10]",NA,sponsor/cosponsor,128.0,#B22222,H,H.J.Res. 19,H.R. 25,
34,"Pfluger, August [Rep.-R-TX-11]",NA,sponsor,128.0,#B22222,^,H.J.Res. 67,NA,
35,"Rubio, Marco [Sen.-R-FL]",NA,sponsor,128.0,#B22222,^,S. 153,NA,
36,"Sanders, Bernard [Sen.-I-VT]",NA,sponsor,128.0,#FFAA33,^,S. 393,NA,
37,"Scalise, Steve [Rep.-R-LA-1]",NA,sponsor,128.0,#B22222,^,H.Res. 5,NA,
38,"Schakowsky, Janice D. [Rep.-D-IL-9]",NA,sponsor,128.0,#0047AB,^,H.R. 1046,NA,
39,"Scott, Rick [Sen.-R-FL]",NA,sponsor,128.0,#B22222,^,S.J.Res. 1,NA,
40,"Smith, Jason [Rep.-R-MO-8]",NA,sponsor,128.0,#B22222,^,"H.R. 3938, H.R. 5988, H.R. 7024",NA,
41,"Steube, W. Gregory [Rep.-R-FL-17]",NA,sponsor,128.0,#B22222,^,H.R. 579,NA,
42,"Van Orden, Derrick [Rep.-R-WI-3]",NA,sponsor,128.0,#B22222,^,H.J.Res. 21,NA,
43,"Wyden, Ron [Sen.-D-OR]",NA,sponsor,128.0,#0047AB,^,S. 3084,NA,
44,"Yakym, Rudy [Rep.-R-IN-2]",NA,sponsor,128.0,#B22222,^,H.J.Res. 55,NA,
45,"Adams, Alma S. [Rep.-D-NC-12]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
46,"Allen, Rick W. [Rep.-R-GA-12]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
47,"Bacon, Don [Rep.-R-NE-2]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
48,"Baird, James R. [Rep.-R-IN-4]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
49,"Banks, Jim [Rep.-R-IN-3]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
50,"Barrasso, John [Sen.-R-WY]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
51,"Biggs, Andy [Rep.-R-AZ-5]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
52,"Bilirakis, Gus M. [Rep.-R-FL-12]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
53,"Blackburn, Marsha [Sen.-R-TN]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
54,"Booker, Cory A. [Sen.-D-NJ]",NA,cosponsor,60.0,#0047AB,o,NA,S. 393,19.0
55,"Bowman, Jamaal [Rep.-D-NY-16]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
56,"Britt, Katie Boyd [Sen.-R-AL]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
57,"Budd, Ted [Sen.-R-NC]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
58,"Burlison, Eric [Rep.-R-MO-7]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
